name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N
LISWET9,QPALM,max_iter_reached,15.435550451278687,2500,136.60669077781859,1963.2513,10002,20002,50004
LOTSCHD,QPALM,optimal,0.0028145313262939453,32,2398.415891085399,2398.4159,12,19,72
MOSARQP1,QPALM,optimal,0.05005383491516113,36,-952.8754430515828,-952.87544,2500,3200,8512
MOSARQP2,QPALM,optimal,0.020328998565673828,29,-1597.482116203368,-1597.4821,900,1500,4820
POWELL20,QPALM,max_iter_reached,9.225031852722168,2500,43663480415.88739,52089583000.0,10000,20000,40000
PRIMAL1,QPALM,optimal,0.009448528289794922,26,-0.03501296573228787,-0.035012965,325,410,6464
PRIMAL2,QPALM,optimal,0.015868186950683594,26,-0.03373367612249459,-0.033733676,649,745,9339
PRIMAL3,QPALM,optimal,0.04062533378601074,40,-0.135755836864362,-0.13575584,745,856,23036
PRIMAL4,QPALM,optimal,0.04298090934753418,40,-0.7460908418956494,-0.74609083,1489,1564,19008
PRIMALC1,QPALM,optimal,0.0030014514923095703,16,-6155.250829463422,-6155.2508,230,239,2529
PRIMALC2,QPALM,optimal,0.0026345252990722656,14,-3551.3076965846863,-3551.3077,231,238,2078
PRIMALC5,QPALM,optimal,0.002950429916381836,12,-427.2323268243823,-427.23233,287,295,2869
PRIMALC8,QPALM,optimal,0.004842042922973633,14,-18309.42978939218,-18309.43,520,528,5199
Q25FV47,QPALM,max_iter_reached,6.409494876861572,2500,13744447.892313518,13744448.0,1571,2391,130523
QADLITTL,QPALM,max_iter_reached,0.33492350578308105,2500,480318.85854476853,480318.86,97,153,637
QAFIRO,QPALM,optimal,0.0025260448455810547,36,-1.5907818079997493,-1.5907818,32,59,124
QBANDM,QPALM,optimal,0.09200596809387207,280,16352.342033077713,16352.342,472,777,3023
QBEACONF,QPALM,optimal,0.01869964599609375,79,164712.0601474589,164712.06,262,435,3673
QBORE3D,QPALM,optimal,0.02850794792175293,129,3100.2008018575257,3100.2008,315,548,1872
QBRANDY,QPALM,max_iter_reached,0.3329172134399414,2500,28375.11485667096,28375.115,249,469,2511
QCAPRI,QPALM,max_iter_reached,1.4068515300750732,2500,66793293.26635028,66793293.0,353,624,3852
QE226,QPALM,optimal,0.05333900451660156,213,212.6534326259708,212.65343,282,505,4721
QETAMACR,QPALM,max_iter_reached,1.1634962558746338,2500,86760.36962587274,86760.37,688,1088,11613
QFFFFF80,QPALM,optimal,0.266446590423584,298,873147.4665293675,873147.47,854,1378,10635
QFORPLAN,QPALM,optimal,0.19353270530700684,650,7456631460.656082,7456631500.0,421,582,6112
QGFRDXPN,QPALM,max_iter_reached,1.1018495559692383,2500,100790584870.42387,100790590000.0,1092,1708,3739
QGROW15,QPALM,optimal,0.2765326499938965,480,-101693641.68532217,-101693640.0,645,945,7227
QGROW22,QPALM,optimal,0.5854952335357666,714,-149628953.5072888,-149628950.0,946,1386,10837
QGROW7,QPALM,optimal,0.027025938034057617,119,-42798714.98160648,-42798714.0,301,441,3597
QISRAEL,QPALM,max_iter_reached,1.1407313346862793,2500,25347837.789121445,25347838.0,142,316,3765
QPCBLEND,QPALM,optimal,0.004919767379760742,56,-0.007842547530501518,-0.0078425409,83,157,657
QPCBOEI1,QPALM,optimal,0.03228187561035156,111,11503913.986092087,11503914.0,384,735,4253
QPCBOEI2,QPALM,optimal,0.16921687126159668,170,8171962.168561969,8171962.3,143,309,1482
QPCSTAIR,QPALM,max_iter_reached,0.3524131774902344,2500,6204387.476082446,6204387.5,467,823,4790
QPILOTNO,QPALM,optimal,2.7539656162261963,1053,4728586.895288354,4728586.9,2172,3147,16105
QPTEST,QPALM,optimal,0.0015063285827636719,9,4.371875015895683,4.371875,2,4,10
