name,solver,status,run_time,iter,obj_val,n,m,N,status_polish,setup_time,solve_time,update_time,rho_updates
ship04l,OSQP,optimal,1.5523369312286377,24725,1793101.754005941,2118,2520,8450,0,0.002396922,1.54936257,0.0,0
ship04s,OSQP,optimal,2.4947867393493652,53875,1798649.551115937,1458,1860,5810,0,0.001405229,2.492874296,0.0,0
ship08l,OSQP,solver_error,13.38740611076355,100000,1907566.091609416,4283,5061,17085,0,0.004732807,13.382019249,0.0,0
ship08s,OSQP,max_iter_reached,7.6971800327301025,100000,1917787.6889745665,2387,3165,9501,0,0.002352797,7.694229946,0.0,0
ship12l,OSQP,max_iter_reached,17.14477014541626,100000,1459813.35575948,5427,6578,21597,0,0.005532348,17.138612522,0.0,0
ship12s,OSQP,max_iter_reached,9.152125358581543,100000,1479006.9253292219,2763,3914,10941,0,0.002155826,9.149384742,0.0,0
sierra,OSQP,max_iter_reached,9.036046743392944,100000,15422272.469727663,2036,3263,9338,0,0.002122057,9.0333899,0.0,0
stair,OSQP,max_iter_reached,3.6333811283111572,100000,-251.25599807416805,467,823,4323,0,0.001203022,3.63166281,0.0,0
standata,OSQP,max_iter_reached,6.784055948257446,100000,1283.2317680322328,1075,1434,4106,0,0.000777484,6.782760005,0.0,0
standgub,OSQP,max_iter_reached,4.360884666442871,100000,1283.2317680322328,1184,1545,4323,0,0.000768834,4.359624454,0.0,0
standmps,OSQP,max_iter_reached,18.153448343276978,100000,1405.1228459468427,1075,1542,4754,0,0.001087554,18.151843637,0.0,0
stocfor1,OSQP,max_iter_reached,23.57914710044861,100000,-41097.98257919425,111,228,558,0,0.000169546,23.578566223,0.0,0
stocfor2,OSQP,max_iter_reached,22.976828813552856,100000,-38715.99002564618,2031,4188,10374,0,0.002493117,22.973745922,0.0,0
tuff,OSQP,solver_error,22.93397617340088,100000,0.5303186125361239,587,920,5107,0,0.001228357,22.932266248,0.0,0
vtp.base,OSQP,max_iter_reached,22.72637915611267,100000,129039.63683359616,203,401,1111,0,0.000327716,22.7256189,0.0,0
wood1p,OSQP,solver_error,6.587001800537109,23975,,2594,2838,72809,0,0.016988305,6.56932547,0.0,0
woodw,OSQP,optimal,30.473172187805176,79350,1.3042003862792626,8405,9503,45879,0,0.028060789,30.444171929,0.0,0
