name,solver,status,run_time,iter,obj_val,n,m,N,status_polish,setup_time,solve_time,update_time,rho_updates,rho_estimate
modszk1,OSQP_high,max_iter_reached,4.941625118255615,100000,30970937.47376388,1620,2305,4786,0,0.001528185,4.93979809,0.0,4,1e-06
nesm,OSQP_high,solver_error,13.887717723846436,100000,14076050.715927422,2923,3585,16211,0,0.004356658,13.882999742,0.0,7,0.0002765808447562814
perold,OSQP_high,max_iter_reached,11.580403089523315,100000,-10495.909010396625,1376,1913,7306,0,0.003241729,11.576780375,0.0,14,1.3042054903479383e-05
pilot.ja,OSQP_high,max_iter_reached,21.113012075424194,100000,-6616.814684851386,1988,2840,16598,0,0.007991715,21.104720248,0.0,5,1.6445262512678923e-06
pilot,OSQP_high,max_iter_reached,66.53745985031128,100000,-570.2524001495357,3652,5093,46819,0,0.03926537,66.498261052,0.0,2,0.0005451251769169968
pilot.we,OSQP_high,max_iter_reached,13.08378791809082,100000,-2674832.674012168,2789,3431,11835,0,0.003468673,13.080030598,0.0,4,2.2672593053127534e-05
pilot4,OSQP_high,max_iter_reached,6.825479030609131,100000,-27.904793525640724,1000,1322,6053,0,0.001898375,6.823245704,0.0,36,1e-06
pilot87,OSQP_high,max_iter_reached,187.3146550655365,100000,345.36296196249805,4883,6913,78035,0,0.166433998,187.149270412,0.0,7,7.489286006116846e-05
pilotnov,OSQP_high,max_iter_reached,23.407937049865723,100000,-4497.294800981989,2172,3147,15229,0,0.008467693,23.399211404,0.0,5,4.258957234093457e-06
recipe,OSQP_high,optimal,0.0029408931732177734,250,-266.6158821514348,180,271,843,0,0.000163826,0.002472581,0.0,2,0.022298005799104147
sc105,OSQP_high,max_iter_reached,0.4057140350341797,100000,-52.16804048828644,103,208,383,0,0.000148147,0.405301877,0.0,171,0.0007088127640022699
sc205,OSQP_high,max_iter_reached,0.8063318729400635,100000,-51.98313438065812,203,408,754,0,0.000301601,0.805703178,0.0,133,0.0005560880563435646
sc50a,OSQP_high,optimal,0.010445117950439453,4925,-64.57503153557123,48,98,178,0,0.000135436,0.009943652,0.0,25,0.001745528015179532
sc50b,OSQP_high,optimal,0.01201009750366211,6200,-70.00008804921917,48,98,166,0,7.1337e-05,0.011669826,0.0,25,0.0017693105129216364
scagr25,OSQP_high,max_iter_reached,1.7290689945220947,100000,-14736035.144821774,500,971,2054,0,0.000421357,1.728364406,0.0,21,2.145904236301506e-05
scagr7,OSQP_high,max_iter_reached,0.45877504348754883,100000,-2321552.143679967,140,269,560,0,0.000152293,0.458368265,0.0,57,9.958465966338422e-05
scfxm1,OSQP_high,max_iter_reached,2.602052927017212,100000,18625.74734543209,457,787,3046,0,0.000736137,2.601072503,0.0,9,0.0008609819981044353
scfxm2,OSQP_high,max_iter_reached,6.768001079559326,100000,37121.164310033964,914,1574,6097,0,0.001584543,6.766198679,0.0,8,0.00020461124438356872
scfxm3,OSQP_high,max_iter_reached,8.48836898803711,100000,56726.67411586456,1371,2361,9148,0,0.002400546,8.485733707,0.0,8,0.00031808935152742097
scorpion,OSQP_high,max_iter_reached,1.3361501693725586,100000,1877.8697268948806,358,746,1784,0,0.000378524,1.335526511,0.0,159,0.7629777308340234
scrs8,OSQP_high,solver_error,3.62768816947937,100000,904.1936233747964,1169,1659,4351,0,0.000894962,3.62656297,0.0,2,0.003131350808738647
scsd1,OSQP_high,optimal,0.010356903076171875,525,8.6667002399685,760,837,3148,0,0.000621407,0.009467279,0.0,1,0.40083709014014995
scsd6,OSQP_high,optimal,0.4261338710784912,9975,50.499999439372225,1350,1497,5666,0,0.001707519,0.423990304,0.0,3,0.4949935690100814
scsd8,OSQP_high,max_iter_reached,8.402276754379272,100000,904.9361600199572,2750,3147,11334,0,0.004429867,8.397119157,0.0,375,0.04600161960584118
sctap1,OSQP_high,optimal,0.6532669067382812,40325,1412.175006108971,480,780,2172,0,0.000474333,0.652555143,0.0,18,0.07280783391314695
sctap2,OSQP_high,max_iter_reached,7.321025848388672,100000,1724.9843019529333,1880,2970,8594,0,0.002000377,7.318767604,0.0,331,0.09155378521324485
sctap3,OSQP_high,optimal,0.15088486671447754,1400,1424.0014477723105,2480,3960,11354,0,0.003035201,0.147559596,0.0,0,0.1699015271043425
seba,OSQP_high,max_iter_reached,2.6950199604034424,100000,15585.117838516488,1028,1543,5380,0,0.000943911,2.693833543,0.0,17,0.00010645786732126877
share1b,OSQP_high,max_iter_reached,1.0641639232635498,100000,-6745.913489792239,225,342,1376,0,0.000247303,1.037916241,0.0,118,5.661539103942961e-06
share2b,OSQP_high,max_iter_reached,0.8498549461364746,100000,-433.03973519723905,79,175,773,0,0.000188305,0.849429028,0.0,35,0.08464940340646095
shell,OSQP_high,max_iter_reached,4.951535701751709,100000,1209086238.3347812,1775,2311,5331,0,0.00155892,4.949663752,0.0,52,1.80341780356947e-05
ship04l,OSQP_high,max_iter_reached,5.067760229110718,100000,1793342.7899100864,2118,2520,8450,0,0.002370157,5.065166461,0.0,114,0.0016102883811443122
ship04s,OSQP_high,max_iter_reached,3.5346968173980713,100000,1798713.5380135777,1458,1860,5810,0,0.001874033,3.532571769,0.0,165,0.004561433360555269
ship08l,OSQP_high,optimal,0.39365506172180176,3675,1909058.0559801317,4283,5061,17085,0,0.005851233,0.387401428,0.0,1,0.03854401015542344
ship08s,OSQP_high,max_iter_reached,6.352972984313965,100000,1919998.4451938055,2387,3165,9501,0,0.002825107,6.349921071,0.0,85,0.03324410557947254
ship12l,OSQP_high,optimal,1.6151628494262695,11375,1470191.9597350506,5427,6578,21597,0,0.005981541,1.608757884,0.0,6,0.00905823900073545
ship12s,OSQP_high,max_iter_reached,7.534143924713135,100000,1489267.444038333,2763,3914,10941,0,0.002354862,7.531580399,0.0,90,0.003326285821251224
sierra,OSQP_high,optimal,3.6498911380767822,48575,15394362.258830748,2036,3263,9338,0,0.002163707,3.647466563,0.0,15,1.2319999448383367e-05
stair,OSQP_high,solver_error,3.414837121963501,100000,-251.28833094683336,467,817,4317,0,0.001084464,3.413502444,0.0,3,0.0014590618541638815
standata,OSQP_high,max_iter_reached,3.0431461334228516,100000,476.7066262464548,1075,1434,4106,0,0.00064289,3.042261806,0.0,143,0.002176858234998254
standgub,OSQP_high,max_iter_reached,3.1649720668792725,100000,476.7066262464548,1184,1545,4323,0,0.000761563,3.163945626,0.0,143,0.002176858234998254
standmps,OSQP_high,solver_error,3.6735007762908936,100000,1409.9077741335157,1075,1542,4754,0,0.001082625,3.672161517,0.0,19,0.00023191806047615345
stocfor1,OSQP_high,max_iter_reached,0.8095331192016602,100000,-40713.53658916865,111,228,558,0,0.000189895,0.8018388,0.0,32,0.00044462752259516767
stocfor2,OSQP_high,max_iter_reached,10.251687288284302,100000,-39005.9463379559,2031,4188,10374,0,0.003727258,10.247618631,0.0,4,0.00014778778434541877
tuff,OSQP_high,max_iter_reached,3.747647285461426,100000,0.28812390125593107,587,918,5105,0,0.001330822,3.746060715,0.0,6,0.00018371449929018157
vtp.base,OSQP_high,max_iter_reached,1.0609278678894043,100000,543617.8112017472,203,400,1110,0,0.000325875,1.060388032,0.0,2407,1e-06
wood1p,OSQP_high,max_iter_reached,28.672175884246826,100000,4.914891184031589,2594,2838,72809,0,0.015601862,28.656436163,0.0,980,4.583393716261576e-06
woodw,OSQP_high,optimal,10.469265937805176,30975,1.3048866841329425,8405,9503,45879,0,0.021118589,10.446496918,0.0,9,0.7222468266312849
