name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,status_polish,setup_time,solve_time,update_time,rho_updates,rho_estimate
DUALC8,OSQP,optimal,0.21997618675231934,19925,18306.506203039797,18309.359,8,511,4096,0,0.000270296,0.202998617,0.0,7,3.956375897431069
EXDATA,OSQP,optimal,5.162917852401733,875,-141.8432395704016,-141.84343,3000,6001,2260500,0,0.695473076,4.337660373,0.0,2,0.002769611712685858
GENHS28,OSQP,optimal,0.0006339550018310547,25,0.9271678999292942,0.92717369,10,18,62,0,2.2277e-05,3.1983e-05,0.0,0,0.0695530412222433
GOULDQP2,OSQP,optimal,0.002609729766845703,75,0.0001842043449825012,0.00018427534,699,1048,2791,0,0.000303144,0.001691259,0.0,1,4.068733133506389e-05
GOULDQP3,OSQP,optimal,0.03417015075683594,25,2.062787154191028,2.062784,699,1048,3838,0,0.000405049,0.033089463,0.0,0,0.07324470044294412
HS118,OSQP,optimal,0.0006988048553466797,425,664.8014815175443,664.82045,15,32,69,0,3.5617e-05,0.000317338,0.0,4,0.0011030510079091083
HS21,OSQP,optimal,0.00033593177795410156,75,-99.96000146918307,-99.96,2,3,6,0,8.231e-06,3.2395e-05,0.0,1,0.0013345220041892415
HS268,OSQP,optimal,0.0006158351898193359,25,0.45997679554420756,5.7310705e-07,5,10,55,0,1.7274e-05,2.99e-05,0.0,0,0.002223201921597805
HS35,OSQP,optimal,0.0005750656127929688,25,0.11111111101044635,0.11111111,3,4,13,0,9.506e-06,2.5374e-05,0.0,0,0.05258714186720651
HS35MOD,OSQP,optimal,0.0005650520324707031,25,0.2500015507375366,0.25,3,4,13,0,1.0547e-05,2.4374e-05,0.0,0,0.07067111687364798
HS51,OSQP,optimal,0.0313870906829834,25,1.0950351736482844e-11,8.8817842e-16,5,8,21,0,2.7949e-05,3.2159e-05,0.0,0,0.06657840983354653
HS52,OSQP,optimal,0.0006170272827148438,25,5.326647607006849,5.3266476,5,8,21,0,1.4449e-05,2.7141e-05,0.0,0,0.1486499252891458
HS53,OSQP,optimal,0.0005629062652587891,25,4.093023298898925,4.0930233,5,8,21,0,1.1521e-05,2.5848e-05,0.0,0,0.10499538741186124
HS76,OSQP,optimal,0.0005800724029541016,75,-4.681817922888947,-4.6818182,4,7,22,0,1.1416e-05,3.702e-05,0.0,1,0.277619486062503
HUES-MOD,OSQP,optimal,0.3909029960632324,1475,34829726.170988984,34824690.0,10000,10002,40000,0,0.006164556,0.382196644,0.0,2,0.0013160658649489785
HUESTIS,OSQP,optimal,0.5478262901306152,2050,348208829167.21924,348246900000.0,10000,10002,40000,0,0.006062068,0.518546675,0.0,2,13.566348727340422
KSIP,OSQP,optimal,0.03814578056335449,375,0.5756943054882839,0.57579794,20,1021,19938,0,0.001418152,0.020234738,0.0,1,0.9636338995727001
LASER,OSQP,optimal,0.028123140335083008,100,2409522.7589663886,2409601.4,1002,2002,9462,0,0.000897819,0.004132606,0.0,1,5.147992053841729
LISWET1,OSQP,optimal,0.2994680404663086,725,24.99730498066856,36.122402,10002,20002,50004,0,0.011122073,0.287153445,0.0,2,6.22350761416406
LISWET10,OSQP,optimal,0.2418968677520752,525,24.99584576984853,49.485785,10002,20002,50004,0,0.01155367,0.229335858,0.0,1,4.863965064425797
LISWET11,OSQP,optimal,0.2467658519744873,550,24.99355399538581,49.523957,10002,20002,50004,0,0.010871293,0.233085929,0.0,1,4.934666450021706
LISWET12,OSQP,optimal,0.24520301818847656,550,24.993267338586065,1736.9274,10002,20002,50004,0,0.011684297,0.232402946,0.0,1,4.9406285501924465
LISWET2,OSQP,optimal,0.2643461227416992,600,24.991753253636944,24.998076,10002,20002,50004,0,0.010835206,0.252326567,0.0,1,5.767497219250965
LISWET3,OSQP,optimal,0.26790499687194824,600,24.995042291265463,25.00122,10002,20002,50004,0,0.011480769,0.255217445,0.0,1,5.772616556810737
LISWET4,OSQP,optimal,0.27121615409851074,600,24.993931648297234,25.000112,10002,20002,50004,0,0.010771336,0.259430377,0.0,1,5.776461375932654
