name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,status_polish,setup_time,solve_time,update_time,rho_updates
GOULDQP2,OSQP_high,optimal,0.054847002029418945,2975,0.00018426975295658676,0.00018427534,699,1048,2791,0,0.000282281,0.053975467,0.0,5
GOULDQP3,OSQP_high,optimal,0.0019478797912597656,50,2.062783970755845,2.062784,699,1048,3838,0,0.000349727,0.000983045,0.0,0
HS118,OSQP_high,optimal,0.0006320476531982422,525,664.820097810577,664.82045,15,32,69,0,2.6969e-05,0.000291343,0.0,4
HS21,OSQP_high,optimal,0.03369593620300293,125,-99.95999956316838,-99.96,2,3,6,0,6.725e-06,0.033400407,0.0,2
HS268,OSQP_high,optimal,0.0005629062652587891,75,0.003943564768633223,5.7310705e-07,5,10,55,0,1.5569e-05,4.2341e-05,0.0,2
HS35,OSQP_high,optimal,0.00051116943359375,25,0.11111111101044635,0.11111111,3,4,13,0,8.056e-06,2.2327e-05,0.0,0
HS35MOD,OSQP_high,optimal,0.0005061626434326172,25,0.2500015507375366,0.25,3,4,13,0,7.523e-06,2.2185e-05,0.0,0
HS51,OSQP_high,optimal,0.0005528926849365234,50,0.0,8.8817842e-16,5,8,21,0,1.0677e-05,2.785e-05,0.0,0
HS52,OSQP_high,optimal,0.0005121231079101562,25,5.326647607006849,5.3266476,5,8,21,0,9.936e-06,2.3129e-05,0.0,0
HS53,OSQP_high,optimal,0.0006568431854248047,25,4.093023298898925,4.0930233,5,8,21,0,1.1764e-05,2.9644e-05,0.0,0
HS76,OSQP_high,optimal,0.032814979553222656,75,-4.681817922888947,-4.6818182,4,7,22,0,9.744e-06,0.032348935,0.0,1
HUES-MOD,OSQP_high,optimal,0.3515138626098633,1650,34825630.35596743,34824690.0,10000,10002,40000,0,0.004367391,0.346337838,0.0,2
HUESTIS,OSQP_high,optimal,0.5018839836120605,2300,348232628439.09827,348246900000.0,10000,10002,40000,0,0.00450196,0.496765392,0.0,2
KSIP,OSQP_high,optimal,0.13201689720153809,2725,0.5757915427576806,0.57579794,20,1021,19938,0,0.001078926,0.10397785,0.0,2
