name,solver,status,run_time,iter,obj_val,n,m,N,status_polish,setup_time,solve_time,update_time,rho_updates,rho_estimate
sc50b,OSQP,optimal,0.0072591304779052734,4525,-69.98845318274364,48,98,166,0,6.3544e-05,0.006955846,0.0,19,0.006956305563432894
scagr25,OSQP,solver_error,1.5037569999694824,100000,-14736035.144821774,500,971,2054,0,0.000327139,1.503072864,0.0,21,2.145904236301506e-05
scagr7,OSQP,optimal,0.05650591850280762,13450,-2331239.64800861,140,269,560,0,0.000133381,0.05606634,0.0,4,3.634094469555315e-05
scfxm1,OSQP,solver_error,2.277164936065674,100000,18625.74734543209,457,787,3046,0,0.000779181,2.276106104,0.0,9,0.0008609819981044353
scfxm2,OSQP,solver_error,5.17985725402832,100000,37121.164310033964,914,1574,6097,0,0.001398608,5.17802941,0.0,8,0.00020461124438356872
scfxm3,OSQP,max_iter_reached,7.536829948425293,100000,56726.67411586456,1371,2361,9148,0,0.002255686,7.534187531,0.0,8,0.00031808935152742097
scorpion,OSQP,optimal,0.019516944885253906,1400,1877.9600800107687,358,746,1784,0,0.000380201,0.018886972,0.0,1,0.6430044315751362
scrs8,OSQP,solver_error,3.638144016265869,100000,904.1936233747964,1169,1659,4351,0,0.000846867,3.6369601,0.0,2,0.003131350808738647
scsd1,OSQP,optimal,0.007899999618530273,400,8.667107216967818,760,837,3148,0,0.000688089,0.006955729,0.0,1,0.3837094498650588
scsd6,OSQP,optimal,0.3062722682952881,9625,50.50003930517654,1350,1497,5666,0,0.001000344,0.30491259,0.0,2,0.6903156284900385
scsd8,OSQP,optimal,0.08819270133972168,1300,904.9254345617198,2750,3147,11334,0,0.001840919,0.085943559,0.0,0,0.1688756321206309
sctap1,OSQP,optimal,0.18796706199645996,11900,1412.3643404049947,480,780,2172,0,0.000520798,0.187158509,0.0,2,0.10055836506752262
sctap2,OSQP,optimal,0.09465193748474121,1325,1724.9050792938815,1880,2970,8594,0,0.002098764,0.092216286,0.0,0,0.11982884974981345
sctap3,OSQP,optimal,0.04949688911437988,500,1424.0764019500455,2480,3960,11354,0,0.002929703,0.04627073,0.0,0,0.18185685611236804
seba,OSQP,solver_error,2.7794978618621826,100000,15585.117838516488,1028,1543,5380,0,0.001061656,2.778112105,0.0,17,0.00010645786732126877
share1b,OSQP,max_iter_reached,0.8329169750213623,100000,-6745.913489792239,225,342,1376,0,0.000360566,0.832225542,0.0,118,5.661539103942961e-06
share2b,OSQP,max_iter_reached,0.4541349411010742,100000,-433.03973519723905,79,175,773,0,0.000159051,0.453719975,0.0,35,0.08464940340646095
shell,OSQP,solver_error,4.577578067779541,100000,1209086238.3347812,1775,2311,5331,0,0.00159528,4.575536966,0.0,52,1.80341780356947e-05
ship04l,OSQP,optimal,0.04773592948913574,900,1793193.8635498423,2118,2520,8450,0,0.002467896,0.044770802,0.0,1,0.01197106195006139
ship04s,OSQP,optimal,0.02559208869934082,675,1798636.1643330886,1458,1860,5810,0,0.001452757,0.02384552,0.0,1,0.0040066122673676485
ship08l,OSQP,optimal,0.07459306716918945,625,1908873.6869510028,4283,5061,17085,0,0.00579152,0.068276392,0.0,1,0.009974938296092273
ship08s,OSQP,optimal,0.05230998992919922,775,1920127.7237068699,2387,3165,9501,0,0.002552895,0.049385495,0.0,1,0.012443398452052456
ship12l,OSQP,optimal,0.20288896560668945,1350,1470072.8319111264,5427,6578,21597,0,0.00666171,0.195086994,0.0,2,0.008042033901136312
ship12s,OSQP,optimal,0.19742989540100098,2500,1489127.7805726407,2763,3914,10941,0,0.00228904,0.194601714,0.0,2,0.010690870758036968
sierra,OSQP,optimal,2.7746689319610596,35700,15394373.562413754,2036,3263,9338,0,0.002100652,2.772152301,0.0,15,1.3938367543961248e-05
stair,OSQP,solver_error,3.422163248062134,100000,-251.28833094683336,467,817,4317,0,0.000982518,3.420858364,0.0,3,0.0014590618541638815
standata,OSQP,max_iter_reached,2.8942551612854004,100000,476.7066262464548,1075,1434,4106,0,0.000644038,2.893244645,0.0,143,0.002176858234998254
standgub,OSQP,max_iter_reached,2.999845266342163,100000,476.7066262464548,1184,1545,4323,0,0.000656806,2.998775969,0.0,143,0.002176858234998254
standmps,OSQP,solver_error,3.7192609310150146,100000,1409.9077741335157,1075,1542,4754,0,0.001012542,3.717781402,0.0,19,0.00023191806047615345
stocfor1,OSQP,optimal,0.02885890007019043,6125,-40772.91499502021,111,228,558,0,0.000170862,0.028448305,0.0,4,0.00012551519902388974
stocfor2,OSQP,solver_error,11.48427438735962,100000,-39005.9463379559,2031,4188,10374,0,0.00264782,11.480729918,0.0,4,0.00014778778434541877
tuff,OSQP,solver_error,4.178053855895996,100000,0.28812390125593107,587,918,5105,0,0.001161588,4.176444788,0.0,6,0.00018371449929018157
vtp.base,OSQP,max_iter_reached,0.9637858867645264,100000,543617.8112017472,203,400,1110,0,0.00030557,0.963212306,0.0,2407,1e-06
wood1p,OSQP,max_iter_reached,29.202227115631104,100000,4.914891184031589,2594,2838,72809,0,0.016078681,29.185427632,0.0,980,4.583393716261576e-06
woodw,OSQP,optimal,11.430531024932861,34000,1.304389025180602,8405,9503,45879,0,0.018692653,11.410115213,0.0,9,0.7552633599613212
