name,solver,status,run_time,iter,obj_val,n,m,N,setup_time,solve_time,scale,scale_updates
share1b,SCS-3.0,optimal,0.057482242584228516,3825,-72741.99197087318,225,342,1376,0.642007,56.543963,2.1386485913297234e-05,7
share2b,SCS-3.0,optimal,0.5347912311553955,72425,-415.716554222622,79,175,773,0.415751,534.071029,0.048069293075107045,1
shell,SCS-3.0,optimal,3.238680839538574,33550,1197447114.4664772,1775,2311,5331,3.742454,3234.609058,0.001815870022319532,4
ship04l,SCS-3.0,optimal,1.6054248809814453,15250,1793431.962536097,2118,2520,8450,5.160324,1599.631244,0.1,0
ship04s,SCS-3.0,optimal,0.4909050464630127,6550,1798680.3809649474,1458,1860,5810,3.17016,487.137047,0.1,0
ship08l,SCS-3.0,optimal,2.7306840419769287,12525,1909048.685376958,4283,5061,17085,10.342623,2719.018921,0.1,0
ship08s,SCS-3.0,optimal,1.3652887344360352,10700,1920056.226598139,2387,3165,9501,5.290712,1359.022406,0.1,0
ship12l,SCS-3.0,optimal,4.925180912017822,17650,1470187.396636979,5427,6578,21597,12.230421,4911.51589,0.04987674220270885,1
ship12s,SCS-3.0,optimal,2.198908805847168,14350,1489305.1033847602,2763,3914,10941,5.798272,2192.294545,0.040683974331555725,5
sierra,SCS-3.0,optimal,0.20911693572998047,1475,15395624.172652427,2036,3263,9338,5.867101,202.471082,0.5730882448060297,3
stair,SCS-3.0,optimal,0.10433721542358398,2125,-252.54832555861657,467,817,4317,2.118651,101.744266,0.0024305485653226973,2
standata,SCS-3.0,optimal,0.2881157398223877,4825,1253.9565180371528,1075,1434,4106,2.254521,285.519108,0.029681131203188223,1
standgub,SCS-3.0,optimal,0.2973158359527588,4825,1253.9565180409318,1184,1545,4323,1.96125,294.957318,0.029681131202829638,1
standmps,SCS-3.0,optimal,0.36294078826904297,5600,1402.1942060690483,1075,1542,4754,2.417945,360.026761,0.035906417267188455,3
stocfor1,SCS-3.0,optimal,0.10899925231933594,13125,-41132.028243297704,111,228,558,0.399356,108.318169,0.1,0
stocfor2,SCS-3.0,optimal,1.2828490734100342,7350,-39015.58371487673,2031,4188,10374,6.937489,1275.09321,0.020870524435122745,2
tuff,SCS-3.0,optimal,0.12085294723510742,2075,0.28098031682181257,587,918,5105,2.69628,117.765616,1e-06,5
vtp.base,SCS-3.0,max_iter_reached,1.486901044845581,100000,95946.18892147375,203,400,1110,0.643271,1485.990847,0.00035260531879123064,4
wood1p,SCS-3.0,optimal,2.928679943084717,9125,1.443523205598744,2594,2838,72809,27.909491,2899.005412,0.023438090389381442,2
woodw,SCS-3.0,optimal,1.1353139877319336,1750,1.3040632020255831,8405,9503,45879,32.288075,1100.704047,0.013539190206538869,2
