name,solver,status,run_time,iter,obj_val,n,m,N,status_val,scale_updates,scale,pobj,dobj,res_pri,res_dual,gap,res_infeas,res_unbdd_a,res_unbdd_p,comp_slack,solve_time,setup_time,lin_sys_time,cone_time,accel_time,rejected_accel_steps,accepted_accel_steps
infd1,SCS_AA1,dual infeasible,0.026948928833007812,75,-inf,465,10,4650,-1,0,0.1,-inf,-inf,,,,,6.062073350746749e-07,0.0,2.9145650626391775e-06,24.190739,1.696482,0.8904130000000001,22.826324000000007,0.08989500000000006,0,0
infd2,SCS_AA1,dual infeasible,0.018468141555786133,50,-inf,465,10,4650,-1,0,0.1,-inf,-inf,,,,1.1249598316419107,1.883360855683718e-08,0.0,6.496379203739714e-07,16.984764,1.149583,0.608814,16.050072000000004,0.017751000000000003,0,0
infp1,SCS_AA1,primal infeasible,0.003244161605834961,25,inf,465,10,4650,-2,0,0.1,inf,inf,,,,9.525656916676421e-07,0.03329438077164421,0.0,0.0,2.053535,0.956247,0.274466,1.6154829999999998,0.0031399999999999996,0,0
infp2,SCS_AA1,primal infeasible,0.003072023391723633,25,inf,465,10,4650,-2,0,0.1,inf,inf,,,,1.799797598884072e-06,,,0.0,1.907269,0.90633,0.3008330000000001,1.429151,0.004464999999999999,0,0
