name,solver,status,run_time,iter,obj_val,n,m,N,setup_time,solve_time,scale,scale_updates
sc105,SCS-3.0,optimal,0.004598140716552734,575,-52.15176436207971,103,208,383,0.283952,4.026808,0.00039745544925013856,2
sc205,SCS-3.0,optimal,0.008671045303344727,550,-53.61193858693535,203,408,754,0.568432,7.796855,0.0002784246649329665,3
sc50a,SCS-3.0,optimal,0.002541780471801758,625,-64.56286607204932,48,98,178,0.210044,1.952993,0.0005902716023326642,4
sc50b,SCS-3.0,optimal,0.0033860206604003906,950,-70.01570654348093,48,98,166,0.193879,2.76652,0.0005400983244196201,4
scagr25,SCS-3.0,optimal,0.14022612571716309,3675,-15139473.278255528,500,971,2054,1.018805,138.671659,0.1,0
scagr7,SCS-3.0,optimal,0.020534992218017578,2025,-2362804.6027584705,140,269,560,0.520608,19.70275,0.1,0
scfxm1,SCS-3.0,optimal,0.9841446876525879,22850,17519.874111747733,457,787,3046,1.407462,982.353373,0.1,0
scfxm2,SCS-3.0,optimal,3.8840887546539307,44900,36098.93718510197,914,1574,6097,2.754836,3880.905849,0.1,0
scfxm3,SCS-3.0,optimal,6.584932088851929,49850,53852.52723432113,1371,2361,9148,4.882864,6579.490445,0.1,0
scorpion,SCS-3.0,optimal,0.0689229965209961,2650,1878.2682978144646,358,746,1784,0.862287,67.717813,1.916165122337728,2
scrs8,SCS-3.0,optimal,0.12508606910705566,1700,905.0829583883057,1169,1659,4351,2.008166,122.54496,0.1,0
scsd1,SCS-3.0,optimal,0.03510093688964844,925,8.666186176758078,760,837,3148,1.505771,33.191265,0.3221469945467427,1
scsd6,SCS-3.0,optimal,0.10554385185241699,1475,50.47227521848075,1350,1497,5666,2.726532,102.181252,0.1,0
scsd8,SCS-3.0,optimal,0.39844202995300293,2825,904.6486258070935,2750,3147,11334,4.708542,392.893991,0.1,0
sctap1,SCS-3.0,optimal,0.13166093826293945,4350,1412.3041679781404,480,780,2172,0.988383,130.35177,0.1,0
sctap2,SCS-3.0,optimal,0.6661698818206787,5125,1724.8489313420139,1880,2970,8594,4.537686,660.482704,0.32221052073918605,2
sctap3,SCS-3.0,optimal,0.18456816673278809,1025,1423.979222510237,2480,3960,11354,5.893978,177.559416,0.13973069542309652,3
seba,SCS-3.0,optimal,0.19226694107055664,3225,15679.234344274388,1028,1543,5380,2.409182,189.424953,0.005235079516908843,2
share1b,SCS-3.0,optimal,0.10213184356689453,6575,-76104.76942002316,225,342,1376,0.598914,101.23796,0.03160765663491638,1
share2b,SCS-3.0,optimal,0.5320000648498535,69825,-415.74472252221653,79,175,773,0.366542,531.310715,0.11123968347404324,5
shell,SCS-3.0,optimal,0.0739603042602539,750,1196943276.2448997,1775,2311,5331,3.142229,70.318451,0.1,0
ship04l,SCS-3.0,optimal,0.22319793701171875,2050,1793275.6702742628,2118,2520,8450,5.397344,216.860863,0.1,0
ship04s,SCS-3.0,optimal,0.2160780429840088,2800,1798521.5132513735,1458,1860,5810,2.953232,212.647315,0.1,0
ship08l,SCS-3.0,optimal,1.6781630516052246,7725,1908898.6993953688,4283,5061,17085,9.145245,1667.793799,0.1,0
ship08s,SCS-3.0,optimal,0.9525821208953857,6950,1920168.0690566245,2387,3165,9501,5.01183,946.581652,0.1,0
ship12l,SCS-3.0,optimal,4.730494022369385,16325,1470380.894579975,5427,6578,21597,11.313657,4717.525353,0.031620063841056346,1
ship12s,SCS-3.0,optimal,1.5835862159729004,10175,1489030.2977727447,2763,3914,10941,5.273368,1577.280346,0.1,0
sierra,SCS-3.0,optimal,0.40323710441589355,2800,14894372.582158513,2036,3263,9338,4.778786,397.503522,0.1,0
stair,SCS-3.0,optimal,1.2628231048583984,23900,-251.9723430364067,467,817,4317,2.102091,1260.334705,0.1,0
standata,SCS-3.0,optimal,4.296439170837402,67875,1267.3183228440255,1075,1434,4106,1.871398,4294.086726,0.010514807085884804,1
standgub,SCS-3.0,optimal,4.978376865386963,67875,1267.3183228435928,1184,1545,4323,2.229451,4975.59558,0.010514807085875787,1
standmps,SCS-3.0,optimal,0.6796848773956299,8900,1404.373822258704,1075,1542,4754,2.59156,676.318111,0.0038409305465330734,2
stocfor1,SCS-3.0,optimal,0.15301918983459473,10000,-41133.966319012434,111,228,558,0.65606,151.817439,0.1,0
stocfor2,SCS-3.0,optimal,3.0756418704986572,15850,-39024.72665922452,2031,4188,10374,6.595479,3067.414623,0.1,0
tuff,SCS-3.0,optimal,0.4200561046600342,6650,0.2901476735616495,587,918,5105,2.416959,417.12858,0.4708803890935757,6
vtp.base,SCS-3.0,max_iter_reached,1.7555952072143555,100000,91280.008361522,203,400,1110,0.81338,1754.334562,0.1,0
wood1p,SCS-3.0,optimal,2.4886159896850586,6975,1.442289376966693,2594,2838,72809,30.515814,2455.904289,0.1,0
woodw,SCS-3.0,optimal,1.4535059928894043,2225,1.3042595118348361,8405,9503,45879,30.389125,1420.42142,0.00960312261245508,2
