name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,status_polish,setup_time,solve_time,update_time,rho_updates
HS118,OSQP,optimal,0.0011408329010009766,425,664.8014821349427,664.82045,15,32,69,0,4.9368e-05,0.00042023,0.0,4
HS21,OSQP,optimal,0.0007724761962890625,75,-99.96000146918315,-99.96,2,3,6,0,2.8655e-05,5.9951e-05,0.0,1
HS268,OSQP,optimal,0.0018172264099121094,25,0.45997679554420756,5.7310705e-07,5,10,55,0,3.3966e-05,0.000103068,0.0,0
HS35,OSQP,optimal,0.0017805099487304688,25,0.11111111101044635,0.11111111,3,4,13,0,3.1501e-05,8.9727e-05,0.0,0
HS35MOD,OSQP,optimal,0.0018017292022705078,25,0.2500015507375366,0.25,3,4,13,0,3.1234e-05,9.0068e-05,0.0,0
HS51,OSQP,optimal,0.0018112659454345703,25,1.0950351736482844e-11,8.8817842e-16,5,8,21,0,3.2289e-05,9.3174e-05,0.0,0
HS52,OSQP,optimal,0.0017962455749511719,25,5.326647607006849,5.3266476,5,8,21,0,3.0296e-05,9.4497e-05,0.0,0
HS53,OSQP,optimal,0.0017819404602050781,25,4.093023298898925,4.0930233,5,8,21,0,3.1093e-05,9.51e-05,0.0,0
HS76,OSQP,optimal,0.0018091201782226562,75,-4.681817922888242,-4.6818182,4,7,22,0,3.112e-05,0.000120549,0.0,1
HUES-MOD,OSQP,optimal,0.690026044845581,1500,34828707.14984788,34824690.0,10000,10002,40000,0,0.006220151,0.68217204,0.0,2
HUESTIS,OSQP,optimal,0.797849178314209,2050,348208829169.62256,348246900000.0,10000,10002,40000,0,0.004549743,0.791944973,0.0,2
KSIP,OSQP,optimal,0.011472940444946289,100,0.5752798776397692,0.57579794,20,1021,19938,0,0.001982161,0.008500955,0.0,0
LASER,OSQP,optimal,0.010576963424682617,100,2409522.7590446295,2409601.4,1002,2002,9462,0,0.001455298,0.007014509,0.0,1
LISWET1,OSQP,optimal,0.09381961822509766,100,24.990613375910016,36.122402,10002,20002,50004,0,0.012564881,0.07949178,0.0,1
LISWET10,OSQP,optimal,0.09194254875183105,100,24.99276026074085,49.485785,10002,20002,50004,0,0.012675664,0.077567203,0.0,1
LISWET11,OSQP,optimal,0.09538793563842773,100,24.990230167067693,49.523957,10002,20002,50004,0,0.012601562,0.08095333,0.0,1
LISWET12,OSQP,optimal,0.0874171257019043,100,24.98992603624356,1736.9274,10002,20002,50004,0,0.013956185,0.071433327,0.0,1
LISWET2,OSQP,optimal,0.07031369209289551,100,24.986550386831595,24.998076,10002,20002,50004,0,0.008286857,0.060304126,0.0,1
LISWET3,OSQP,optimal,0.11614394187927246,100,24.989846767216818,25.00122,10002,20002,50004,0,0.008883077,0.105706175,0.0,1
LISWET4,OSQP,optimal,0.09925174713134766,100,24.98874053254292,25.000112,10002,20002,50004,0,0.008387212,0.088873682,0.0,1
LISWET5,OSQP,optimal,0.08024764060974121,100,25.02449906503898,25.034253,10002,20002,50004,0,0.01125365,0.066367997,0.0,1
LISWET6,OSQP,optimal,0.07307124137878418,100,24.986039643602908,24.995748,10002,20002,50004,0,0.008325042,0.063038945,0.0,1
LISWET7,OSQP,optimal,0.07028770446777344,100,24.989885931221124,498.84089,10002,20002,50004,0,0.008337708,0.060496769,0.0,1
LISWET8,OSQP,optimal,0.07113480567932129,100,24.989729651525522,7144.7006,10002,20002,50004,0,0.008393348,0.061348041,0.0,1
LISWET9,OSQP,optimal,0.07087206840515137,100,24.989719640794647,1963.2513,10002,20002,50004,0,0.008255439,0.061208563,0.0,1
LOTSCHD,OSQP,optimal,0.0007462501525878906,100,2398.280087997826,2398.4159,12,19,72,0,4.0332e-05,0.000108841,0.0,1
MOSARQP1,OSQP,optimal,0.015239477157592773,100,-952.890889516443,-952.87544,2500,3200,8512,0,0.00222179,0.01157319,0.0,1
MOSARQP2,OSQP,optimal,0.010279178619384766,75,-1597.4836576052157,-1597.4821,900,1500,4820,0,0.001688973,0.006875355,0.0,1
POWELL20,OSQP,solver_error,68.14551377296448,100000,45654248196.323715,52089583000.0,10000,20000,40000,0,0.011511391,68.132103763,0.0,2
PRIMAL1,OSQP,optimal,0.004546165466308594,25,-0.03508089525434425,-0.035012965,325,410,6464,0,0.002235821,0.00132496,0.0,0
PRIMAL2,OSQP,optimal,0.006259441375732422,25,-0.03373369508507323,-0.033733676,649,745,9339,0,0.003292189,0.001937961,0.0,0
PRIMAL3,OSQP,optimal,0.01611185073852539,25,-0.13575793786938248,-0.13575584,745,856,23036,0,0.012184306,0.00277208,0.0,0
PRIMAL4,OSQP,optimal,0.017276525497436523,50,-0.7460931331532781,-0.74609083,1489,1564,19008,0,0.010808149,0.005314451,0.0,0
PRIMALC1,OSQP,solver_error,1.3138389587402344,100000,-133511835.15000302,-6155.2508,230,239,2529,0,0.000225463,1.312949648,0.0,4
PRIMALC2,OSQP,solver_error,1.7051079273223877,100000,-142680322.59536883,-3551.3077,231,238,2078,0,0.000298464,1.703503888,0.0,2
PRIMALC5,OSQP,solver_error,5.17449164390564,100000,-12999552.923185423,-427.23233,287,295,2869,0,0.000242324,5.173506437,0.0,5
PRIMALC8,OSQP,solver_error,5.879995822906494,100000,-249975663.65851334,-18309.43,520,528,5199,0,0.000489633,5.878499036,0.0,2
Q25FV47,OSQP,optimal,11.813904762268066,34250,13744463.703972775,13744448.0,1571,2391,130523,0,0.018443019,11.78909504,0.0,1
QADLITTL,OSQP,optimal,0.011453390121459961,1425,480374.41184653447,480318.86,97,153,637,0,0.000228974,0.009652208,0.0,4
QAFIRO,OSQP,optimal,0.0027458667755126953,325,-1.5910224158684154,-1.5907818,32,59,124,0,8.6468e-05,0.000770329,0.0,0
QBANDM,OSQP,optimal,0.10338282585144043,2425,16352.572699717533,16352.342,472,777,3023,0,0.001180008,0.100034422,0.0,1
QBEACONF,OSQP,optimal,0.0624995231628418,1950,164717.26836044187,164712.06,262,435,3673,0,0.001129441,0.059089034,0.0,3
QBORE3D,OSQP,solver_error,1.6948316097259521,100000,3110.361891517533,3100.2008,315,548,1872,0,0.000552916,1.6929615550000001,0.0,16
QBRANDY,OSQP,optimal,0.4709300994873047,24250,28382.312661265412,28375.115,249,469,2511,0,0.000653133,0.468865234,0.0,4
QCAPRI,OSQP,solver_error,2.231478214263916,100000,45465690.2735045,66793293.0,353,624,3852,0,0.00083125,2.229257835,0.0,2
QE226,OSQP,optimal,0.22167253494262695,9100,212.66848792858394,212.65343,282,505,4721,0,0.000851655,0.219421888,0.0,1
QETAMACR,OSQP,solver_error,12.644879341125488,100000,86396.67179239921,86760.37,688,1088,11613,0,0.006172633,12.636375875,0.0,0
QFFFFF80,OSQP,solver_error,8.322197437286377,100000,849882.1295728178,873147.47,854,1378,10635,0,0.003205333,8.317310851,0.0,2
QFORPLAN,OSQP,solver_error,3.1058948040008545,100000,7389653857.733256,7456631500.0,421,582,6112,0,0.002925988,3.101297732,0.0,8
QGFRDXPN,OSQP,solver_error,4.416217088699341,100000,100211525863.07562,100790590000.0,1092,1708,3739,0,0.001010375,4.413893746,0.0,2
QGROW15,OSQP,optimal,0.8659160137176514,17225,-101695197.33199528,-101693640.0,645,945,7227,0,0.001468465,0.863199609,0.0,3
QGROW22,OSQP,optimal,1.8560454845428467,26725,-149623956.23295113,-149628950.0,946,1386,10837,0,0.002206148,1.852053677,0.0,3
QGROW7,OSQP,optimal,0.39888548851013184,17950,-42802041.39998067,-42798714.0,301,441,3597,0,0.000905963,0.396467031,0.0,3
QISRAEL,OSQP,optimal,0.8369617462158203,57875,25350122.974897906,25347838.0,142,316,3765,0,0.00068065,0.834793871,0.0,4
QPCBLEND,OSQP,optimal,0.002648591995239258,300,-0.007969998816250753,-0.0078425409,83,157,657,0,0.000199315,0.001711234,0.0,2
QPCBOEI1,OSQP,solver_error,3.8423619270324707,100000,11487333.212310206,11503914.0,384,735,4253,0,0.001456342,3.8397603460000003,0.0,3
QPCBOEI2,OSQP,solver_error,1.0888254642486572,100000,7197111.9588504555,8171962.3,143,309,1482,0,0.00040958,1.087615037,0.0,5
QPCSTAIR,OSQP,optimal,0.13022589683532715,3250,6203744.483307545,6204387.5,467,823,4790,0,0.0012762,0.128171373,0.0,4
QPILOTNO,OSQP,solver_error,150.01972341537476,100000,4720816.904591458,4728586.9,2172,3147,16105,0,0.008599162,46.036097284,0.0,0
QPTEST,OSQP,optimal,0.0012078285217285156,50,4.3718750087638,4.371875,2,4,10,0,2.8663e-05,5.4942e-05,0.0,1
QRECIPE,OSQP,optimal,0.003262042999267578,225,-266.6141176678698,-266.616,180,271,923,0,0.00019408,0.00188609,0.0,2
QSC205,OSQP,optimal,0.004857778549194336,350,-0.006818128486552206,-0.0058139518,203,408,785,0,0.000274907,0.003397049,0.0,1
QSCAGR25,OSQP,optimal,0.0852046012878418,3875,201751418.10412893,201737940.0,500,971,2282,0,0.000579658,0.083373312,0.0,2
QSCAGR7,OSQP,optimal,0.020467519760131836,3125,26864462.072596163,26865949.0,140,269,602,0,0.000235439,0.018880022,0.0,2
QSCFXM1,OSQP,solver_error,2.8103561401367188,100000,16879119.315333307,16882692.0,457,787,4456,0,0.000964049,2.808031082,0.0,6
QSCFXM2,OSQP,solver_error,6.507793664932251,100000,27765115.873003095,27776162.0,914,1574,8285,0,0.001855807,6.504517096,0.0,6
QSCFXM3,OSQP,optimal,6.47138524055481,69900,30815174.926957566,30816355.0,1371,2361,11501,0,0.00274179,6.467069925,0.0,5
QSCORPIO,OSQP,optimal,0.031810760498046875,1550,1880.308616720878,1880.5096,358,746,1842,0,0.00059273,0.029446334,0.0,1
QSCRS8,OSQP,solver_error,4.588975191116333,100000,904.6043944406097,904.56001,1169,1659,4560,0,0.001289717,4.586371304,0.0,2
QSCSD1,OSQP,optimal,0.009651660919189453,275,8.667155205420276,8.6666667,760,837,4584,0,0.000901037,0.007319003,0.0,1
QSCSD6,OSQP,optimal,0.7840650081634521,10800,50.80820567551585,50.808214,1350,1497,8378,0,0.002381338,0.779734064,0.0,2
QSCSD8,OSQP,optimal,0.1476445198059082,1425,940.6784656843112,940.76357,2750,3147,16214,0,0.002592509,0.143344565,0.0,0
QSCTAP1,OSQP,optimal,0.25768351554870605,12275,1415.7355956553838,1415.8611,480,780,2442,0,0.000727422,0.255522413,0.0,1
QSCTAP2,OSQP,optimal,0.12669801712036133,1275,1735.1548274651002,1735.0265,1880,2970,10007,0,0.002716521,0.122497067,0.0,0
QSCTAP3,OSQP,optimal,0.15406131744384766,1150,1438.731871370001,1438.7547,2480,3960,13262,0,0.003748475,0.148707689,0.0,0
QSEBA,OSQP,optimal,2.833639144897461,69950,81476895.28356893,81481801.0,1028,1543,6576,0,0.002094423,2.829972441,0.0,5
QSHARE1B,OSQP,solver_error,7.439579248428345,100000,860083.4130263638,720078.32,225,342,1436,0,0.000338075,1.321610864,0.0,325
QSHARE2B,OSQP,optimal,0.04998350143432617,8250,11703.124774738597,11703.692,79,175,873,0,0.000193054,0.048590148,0.0,8
QSHELL,OSQP,optimal,0.5092179775238037,2700,1572636863939.315,1572636800000.0,1775,2311,74506,0,0.009058653,0.495297873,0.0,3
QSHIP04L,OSQP,optimal,0.06656885147094727,900,2419989.6806381275,2420015.5,2118,2520,8548,0,0.002859183,0.062133825,0.0,1
QSHIP04S,OSQP,optimal,0.03837776184082031,700,2425181.923242572,2424993.7,1458,1860,5908,0,0.001798905,0.035084708,0.0,1
QSHIP08L,OSQP,optimal,0.19806885719299316,325,2375948.272913409,2376040.6,4283,5061,86075,0,0.021782367,0.171038068,0.0,0
QSHIP08S,OSQP,optimal,0.08539628982543945,500,2385822.3582985974,2385728.9,2387,3165,32317,0,0.004874142,0.077817989,0.0,1
QSHIP12L,OSQP,optimal,1.4513967037200928,1250,3018353.7506302344,3018876.6,5427,6578,144030,0,0.048835538,1.3928198219999999,0.0,1
QSHIP12S,OSQP,optimal,0.4903721809387207,2525,3056964.710726996,3056962.3,2763,3914,44705,0,0.005080285,0.482022758,0.0,3
QSIERRA,OSQP,optimal,3.5789530277252197,31100,23750365.373004086,23750458.0,2036,3263,9582,0,0.002601707,3.574999845,0.0,14
QSTAIR,OSQP,optimal,0.4686398506164551,10875,7984223.048049432,7985452.8,467,823,6293,0,0.001539062,0.465097473,0.0,3
QSTANDAT,OSQP,optimal,0.5201423168182373,13275,6411.1539258986495,6411.8384,1075,1434,5576,0,0.001018999,0.517720713,0.0,4
S268,OSQP,optimal,0.001285552978515625,25,0.45997679554420756,5.7310705e-07,5,10,55,0,3.4167e-05,9.9759e-05,0.0,0
STADAT1,OSQP,solver_error,12.392458200454712,100000,-28699587.50628612,-28526864.0,2001,6000,13998,0,0.00357507,12.387629199,0.0,37
STADAT2,OSQP,max_iter_reached,16.91017723083496,100000,-33.205778789468575,-32.626665,2001,6000,13998,0,0.002464249,16.906767525,0.0,50
STADAT3,OSQP,max_iter_reached,28.097682237625122,100000,-37.145267055247075,-35.779453,4001,12000,27998,0,0.005052539,28.091010819,0.0,30
STCQP1,OSQP,optimal,0.046260833740234375,50,155143.58000686858,155143.56,4097,6149,66544,0,0.015132894,0.02704338,0.0,1
STCQP2,OSQP,optimal,0.08781814575195312,50,22327.099078144034,22327.313,4097,6149,66544,0,0.029194719,0.054735224,0.0,1
TAME,OSQP,optimal,0.0016613006591796875,25,0.0,0.0,2,3,8,0,3.2671e-05,9.0454e-05,0.0,0
UBH1,OSQP,optimal,48.70294666290283,40825,1.116000898188839,1.1160008,18009,30009,72012,0,0.021395132,48.67946391,0.0,8
VALUES,OSQP,optimal,0.004918813705444336,100,-1.3960513923551596,-1.3966211,202,203,7846,0,0.000670381,0.002174958,0.0,1
YAO,OSQP,solver_error,9.24168348312378,100000,8.423970971177425,197.70426,2002,4002,10004,0,0.001616454,9.239096347,0.0,3
ZECEVIC2,OSQP,optimal,0.001215219497680664,50,-4.125178793970596,-4.125,2,4,7,0,3.4116e-05,0.000109079,0.0,0
